,alpha,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_RF
2022-12-07,0.003271023792467187,0.005090720689761793,0.030884361521282724,0.018608403651204364,-0.0062852630884240104,-0.038177848101648454,-0.8291422835857034
2022-12-08,-0.0007978042716522138,0.005017219895192805,0.03150404510129516,0.017955118122198674,-0.005836083053888476,-0.03778626884950401,-0.4985186159765078
2022-12-09,-0.003230531342957532,0.0053334331630068114,0.031418401987441516,0.016834790313546247,-0.004994623978269219,-0.036889308041983676,-0.3678511315819968
2022-12-12,0.0001320800606159911,0.005510600751968259,0.029815990201738626,0.016698133037436586,-0.0036728855496233268,-0.037261754744166486,-0.5836236304379199
2022-12-13,0.007813301559625396,0.005762915157522558,0.029486110678709668,0.017596908743639922,-0.003132016671438302,-0.037560731039295886,-1.246973385080075
2022-12-14,0.012643548454936815,0.005956052580337025,0.028841887250082868,0.017649462806562946,-0.003241265619027954,-0.037323124848431144,-1.65215110845622
2022-12-15,0.018749025796492957,0.006697725927892858,0.02942459485503983,0.014187016842006614,-0.002850555402100302,-0.03326220627754975,-2.202219906382801
2022-12-16,0.009941331971666023,0.006714726602176823,0.0324507388911055,0.015941676076320258,-0.0033163053098222046,-0.03478378630294912,-1.5603512327467186
2022-12-19,0.007357026504604236,0.006986403055083381,0.03280901910843165,0.016535156342420643,-0.003622092130804652,-0.03462986279838434,-1.3738290862408604
2022-12-20,0.015071914807407771,0.006171988247399597,0.03228973269041627,0.015291505334754957,-0.0019860345501376553,-0.03598210918659281,-1.9352776963005383
2022-12-21,0.018405772031255596,0.005905246209365653,0.032100942869601065,0.01476819732732508,-0.0021707809029819173,-0.03577661751896996,-2.191755079932129
2022-12-22,0.023955512870605156,0.006116999440653775,0.033684614585420145,0.015392937181460967,-0.002989581155876877,-0.036036123431235634,-2.5514082408778975
2022-12-23,0.023766431290633494,0.00611575216075181,0.03342349506589526,0.015971666923557365,-0.002903972650368807,-0.0366194216866815,-2.521296916346131
2022-12-27,0.02005645939267653,0.006486636183088271,0.03334444319709108,0.016206605410103173,-0.002825462431600513,-0.035911406194959694,-2.2501694273519206
2022-12-28,0.020162547642541218,0.006844608048805732,0.03249442193468238,0.016679489166910227,-0.0036533745823874256,-0.03567077455645001,-2.220096162873105
2022-12-29,0.022774167571435244,0.006494227526189222,0.031121483509079645,0.016490969674999023,-0.003057026360912851,-0.03613882833142898,-2.436678897974005
2022-12-30,0.02076259514739942,0.006582578204764426,0.031338245696998515,0.01670545228354456,-0.0033697012498265597,-0.03600100685370053,-2.2903914670065433
2023-01-03,0.017418652975214277,0.006752791784908785,0.031737164976947105,0.016006723941086973,-0.003313947153348446,-0.03477470439431643,-2.045956053467833
2023-01-04,0.01134150232072062,0.007499088788474953,0.03156667927444534,0.016224820830336023,-0.0041411621590543915,-0.03420075763581376,-1.6304560546630427
2023-01-05,0.020570447940342795,0.0063806778688099836,0.0333454926752157,0.015716219479455257,-0.0010686251302120184,-0.03663985426688432,-2.2490138032645888
2023-01-06,0.022200839243895043,0.006327055825951694,0.03510428803057579,0.01507380009568797,0.00026681275534860827,-0.03622746062151305,-2.343671087781459
2023-01-09,0.017707825268342692,0.006649886610634176,0.03479730713260393,0.015175066459538755,-0.00016584807221972642,-0.035719373847607816,-2.0522954867553835
2023-01-10,0.02063917605458543,0.007306584494924967,0.03257993904490608,0.01584784706354879,-0.0012693614700989703,-0.034959085190043204,-2.2859407795041022
2023-01-11,0.027679150751889203,0.007163918689295556,0.033913939816591646,0.014513374867771406,-0.001438937221109507,-0.03204186614903515,-2.8096326191034393
2023-01-12,0.03800593897420623,0.007483760934700628,0.030963964444763646,0.013708050547623904,-0.001654051430390227,-0.032347600198141147,-3.5101491456641583
2023-01-13,0.03383835247372935,0.007302846141326896,0.03139354657212437,0.013696713339235694,-0.0011093527008328857,-0.03288319768020609,-3.210957222518644
2023-01-17,0.027823316932719333,0.007194380320398111,0.032273188798133935,0.013060272768600209,-0.0011625057656184865,-0.03256098681666353,-2.8007051598463306
2023-01-18,0.031838620224032166,0.006952731591789066,0.031751182445068256,0.01255752778060934,-0.0015512714408129,-0.03233340437733723,-3.052861101906572
2023-01-19,0.03270709835281416,0.00695995523841525,0.03173451464163786,0.012539618478151118,-0.0015145061160887763,-0.032402566754143214,-3.112037159079989
2023-01-20,0.01974813541662712,0.007286853751914665,0.031533157147690914,0.013289627949514451,-0.0028209494164626453,-0.032703646786720664,-2.2460165019913774
2023-01-23,0.030122206747936975,0.006867209650114614,0.033138890087660564,0.012612697922893795,-0.0023763019859918758,-0.033105720008426154,-2.920523810846973
2023-01-24,0.023415737892339195,0.007254846465227158,0.03199437643840392,0.012633444289524148,-0.0031010326668290226,-0.032291463279520094,-2.468867968614944
2023-01-25,0.030917471695884213,0.007098664477655572,0.03245509472823444,0.013023044050137877,-0.0034467997808407015,-0.03260701426923218,-2.9485915684614383
2023-01-26,0.015608390065095623,0.005036937228053789,0.03278914729765663,0.014957528835160105,-0.0015874824166644957,-0.038382389822540386,-1.9719372349183004
2023-01-27,0.006731370528996639,0.003961243927515318,0.03287252028647998,0.015018084828425954,6.768022829842235e-05,-0.041789407835603865,-1.3648245089301554
2023-01-30,-0.002135559061366532,0.0039017326730690916,0.031917211822269344,0.014237708635125856,0.0005719700842826136,-0.041567810181232456,-0.8104827783386099
2023-01-31,-0.004964607705641999,0.004006311631503098,0.03067599379024617,0.011593102223086682,0.0008798697896623547,-0.039493688123919846,-0.697693734602268
2023-02-01,-0.04055919919728046,0.007263395550890991,0.024364563906541556,0.009561234287331771,-0.0015943301584654401,-0.03291303549025365,1.4423135119621122
2023-02-02,-0.0364271121685813,0.008505789029129823,0.019317817622424294,0.010753582851564136,-0.009208961524349867,-0.028356326477156857,1.1522660106206217
2023-02-03,-0.03750200340888066,0.007776412391309578,0.01867855032954288,0.01139629934991146,-0.010274719944121685,-0.030164730952305874,1.204831177441207
2023-02-06,-6.758209651991365e-05,0.01079951539578465,0.0077572159307604666,0.006719231870018522,-0.01877383020304621,-0.02027147874076496,-0.9357813325590314
2023-02-07,0.032745000788032996,0.008394861511831192,0.009551053249527722,0.002781358837726844,-0.015440688993906746,-0.0185096847815428,-2.933909956196544
2023-02-08,0.038608696527693276,0.008897393088495756,0.009940098442874329,0.0026898081576817445,-0.014282080394800015,-0.019800780472667256,-3.2842806272474547
2023-02-09,-0.00041046415012324644,0.01015417658588505,0.01119759525851511,0.0001480303549073747,-0.012278459918320085,-0.012896096525219614,-0.9834200627381904
2023-02-10,0.02207270764599034,0.009220215492269104,0.011574780853790205,0.0007151594711285181,-0.01031748741025235,-0.014556175759995016,-2.2929501230965457
2023-02-13,0.011836078326743493,0.008838303988145127,0.010673638919390757,0.0013974344098833524,-0.010721792616861105,-0.014750372770659437,-1.7070842298448952
2023-02-14,0.027966650109446434,0.00851483149316129,0.008400905210516736,0.00018208913836342822,-0.008378811803397335,-0.014687321141793885,-2.6594288326592164
2023-02-15,0.0009386439124123847,0.008907247744276911,0.008003318165813532,0.0013131810021676238,-0.014627911171062644,-0.013481832211670153,-1.0356429473816604
2023-02-16,0.00727723257021573,0.009283772316518737,0.008293295096678449,0.0004550481356036251,-0.014334205997370147,-0.011796779133138924,-1.3978301756585836
2023-02-17,0.011676852290372963,0.009551472472869527,0.00865381611317198,2.88505513744014e-05,-0.014498244182022127,-0.010350459770953557,-1.6458130843669778
2023-02-21,-0.008022096981606275,0.009320201110347828,0.008822489348615431,-0.001621891992452662,-0.01724604518908615,-0.0071813934829861314,-0.4932011946442856
2023-02-22,-0.0180843310926182,0.009365331237040544,0.009493873698181013,-0.0013021859073805153,-0.016439511969792875,-0.00715009338318523,0.08043756493049159
2023-02-23,-0.012593503674509066,0.009289174426424629,0.009791038586287576,-0.0007226506793102938,-0.016133359481778214,-0.00799029494841147,-0.23200484795501097
2023-02-24,-0.012011332973265176,0.00989550011707177,0.01004566947996157,-0.0025567649237412393,-0.01648937706891701,-0.005683558924414911,-0.30527302760418706
2023-02-27,-0.02601062801960996,0.009967872981845455,0.009437119199080884,-0.003392516028979664,-0.016654515220948324,-0.0050396442399295305,0.5218039045493583
2023-02-28,-0.02733188304825873,0.0102894906202846,0.009113796252275638,-0.0046666648798790455,-0.01770807444709066,-0.003447376864399221,0.6255781023250506
2023-03-01,-0.044483330943519306,0.010305459861497779,0.00855629514499976,-0.004436297917870868,-0.017436172299320013,-0.00406605098831192,1.5968120291147443
2023-03-02,-0.04798714433292517,0.009868904571799494,0.009483977139826544,-0.0036024746378848505,-0.016866638824417024,-0.005396896492020908,1.7859763700862459
2023-03-03,-0.05235426474893945,0.010548936473957549,0.010049638389399748,3.8863542613121194e-05,-0.018338274169343,-0.008154902615175486,2.0283516417097758
2023-03-06,-0.05887250446893688,0.011027452245165992,0.00860159190982801,-0.0008007236394975137,-0.019432478883018633,-0.0069981218937607,2.4080376885628425
2023-03-07,-0.0684971822500664,0.011940341333563392,0.007629096873453173,8.763007888934471e-05,-0.020415051026315634,-0.006632999599253675,2.964157227479973
2023-03-08,-0.051356224075769674,0.011328773034436856,0.008401743810608792,-0.00026156257952703044,-0.01722770645022695,-0.008372683180683849,1.976625225887915
2023-03-09,-0.03993804716932203,0.010284555695247638,0.007206818578196564,-0.005009273737278885,-0.014374432266711895,-0.005903239720718267,1.3311439391114277
2023-03-10,-0.041662284426640994,0.009632052995916934,0.007117511108645877,-0.00524021060465546,-0.013389294861681722,-0.006447854169830514,1.425380360564759
2023-03-13,-0.020008592031279804,0.009483676829781074,0.008931749353379273,-0.001585751008790881,-0.011407352129839926,-0.01114836139102826,0.1756455275594817
2023-03-14,-0.012484089497689865,0.008824379858822035,0.009264659799898267,-0.001811052078473735,-0.011302071816121723,-0.0115602377343611,-0.25555029605493473
2023-03-15,0.007032879059048369,0.007235153153760582,0.009451022116546581,-0.0011985404315579817,-0.009515765114088748,-0.014918318115589413,-1.3802534823645374
2023-03-16,-0.0003506586573891468,0.007172846063279725,0.009486783658303466,-0.001683248101277568,-0.00995768819245138,-0.013962881264064086,-0.9579398204846257
2023-03-17,0.004245686043228503,0.00711594652178521,0.009335281776472651,-0.001568354113884507,-0.009844593268487647,-0.013888316655495725,-1.2161654564861806
2023-03-20,0.0015427831064709352,0.006250342007476428,0.009922463969469789,-0.0014942692306538219,-0.010424549254135357,-0.014863310987886735,-1.071891460256495
2023-03-21,0.025943287112299984,0.00548270130517986,0.010224961510713226,0.0013175303963133822,-0.009286698777224434,-0.01985331896765763,-2.4752823237503208
2023-03-22,0.02029045735600299,0.006049208412505627,0.010334368944599048,0.0013293583270646836,-0.010514919861241416,-0.01866080694773886,-2.1481837848642726
2023-03-23,-0.0031482194886294224,0.006470544536784514,0.010837802604504815,0.0015062114753466582,-0.013646515578955064,-0.015570329813358319,-0.801450695274923
2023-03-24,0.0007429947300128248,0.0064954792309307174,0.011075822282505587,0.0017037286728058265,-0.013941442223306549,-0.015756155528720783,-1.023559634279593
2023-03-27,-0.00635014948137691,0.006389088826253803,0.01067900337978317,0.0013346481238849517,-0.013609334247056964,-0.016063473919085025,-0.6236722111059407
2023-03-28,0.004410868049189887,0.006475463659110767,0.010956901728578022,0.0016041706491386198,-0.01427176310406496,-0.015630541489240257,-1.2303958665791015
2023-03-29,0.010588512946166695,0.007066486885115714,0.010020313592694258,0.0016684229770215775,-0.016227859816671235,-0.014727333046218483,-1.569967423848425
2023-03-30,0.02209637260801678,0.007800540213844048,0.008883094735157651,0.0011794318615246657,-0.015878151946703622,-0.014097340113266577,-2.2208382650072735
2023-03-31,0.017229924440952615,0.007418171733519913,0.008431030903900516,0.001349736483867492,-0.01470717325373137,-0.015181674020850189,-1.961922466842509
2023-04-03,0.005938054605220344,0.008097910437762507,0.00820116361573249,0.0010353648554329575,-0.014561535334821078,-0.013722920640169417,-1.271551406051401
2023-04-04,0.0017275924290824918,0.0071061536837808414,0.007344036600880746,0.0014297550818185567,-0.016023106673994432,-0.014696049459754057,-1.023726857609347
2023-04-05,-0.016804949258808932,0.008685054211475945,0.005746822579481586,0.0010994311724642492,-0.015880147715931964,-0.011476439118972698,0.09897257559367745
2023-04-06,-0.021815352626208373,0.008942480855966953,0.005904342089737127,0.0007006860705091322,-0.016610206833595403,-0.010550370019969446,0.41325437243159513
2023-04-10,-0.019253318535357167,0.009114894793331996,0.004939050952947069,0.0009336409318234928,-0.016041345543241554,-0.011954339637970601,0.258552421852869
2023-04-11,-0.01620736940076295,0.009046489953262127,0.005020309652410543,0.0009039558271278503,-0.016577236140914886,-0.01181548155959844,0.0793905231052463
2023-04-12,-0.025331819735989747,0.009094743520615706,0.004380723435488218,0.0008953562319664876,-0.015850959240156698,-0.011830928626801518,0.611048818229051
2023-04-13,-0.015464529106119507,0.008478681329782453,0.004454892561210302,0.0016846216774529243,-0.015553492948981992,-0.012671050089361258,0.009518800679927608
2023-04-14,-0.018007743367491003,0.008283713944684204,0.004314728197016976,0.001708161989267043,-0.01484663636698072,-0.013220115686728595,0.1662401797207167
2023-04-17,-0.011235658388430103,0.008442218897541778,0.0035318486980616542,0.0017854531020154163,-0.009026889393383475,-0.01569693633625882,-0.2973152261064911
2023-04-18,-0.00914264120752506,0.007520438101069629,0.003979034670912318,0.0019730460597596755,-0.009398347842062671,-0.015847871098214922,-0.43310316794548953
2023-04-19,-0.00876808452144573,0.00762202259766484,0.00378116225705713,0.0019895118523232946,-0.009370097521108539,-0.016170227699422585,-0.4520306820083988
2023-04-20,-0.012147566063841708,0.0076683802986489275,0.004108652786227185,0.0015996437718050205,-0.008568308601308847,-0.015955939928203045,-0.25441765908215075
2023-04-21,-0.0071203816737890335,0.007485108842575208,0.0040454526089996334,0.002240535111585701,-0.007433800153989048,-0.01724333347779694,-0.565656411057148
2023-04-24,-0.003443022322845657,0.007746617811216633,0.0030119877159305447,0.0027972012815020986,-0.008491300101962002,-0.017830783894231733,-0.7723378842293869
2023-04-25,-0.010866775124967809,0.00972031118150915,0.002627527553951098,0.001284393074994089,-0.00838209206576461,-0.012105413919146157,-0.397962526848346
2023-04-26,-0.005260600466364451,0.010420194193609594,0.0023869293004141756,0.001319881637890763,-0.008801572700098403,-0.011003642231128097,-0.7534050803113246
2023-04-27,0.0013632882691032577,0.009500433283692392,0.003115331844090935,0.0014178405752438006,-0.0094967892422166,-0.011168541508471463,-1.1435003796625551
2023-04-28,0.00537928077679517,0.009383275448848066,0.0027250508608910873,0.0018397933188580573,-0.010206501261082121,-0.010813746692427073,-1.3843373099325618
2023-05-01,0.004116847347438224,0.009345253975796705,0.0026651641161039297,0.001934173777484255,-0.010011012553287277,-0.01114442375767044,-1.3137130486718434
2023-05-02,0.00015174959105301866,0.00950459342230639,0.0028623537596119963,0.002495225794411249,-0.010388888746721198,-0.011116429083327384,-1.0826108763114917
2023-05-03,-0.007450424228359509,0.010016913943587141,0.001882868301525599,0.002584631768270007,-0.0095384354805437,-0.011244221122111042,-0.6655441464705518
2023-05-04,-0.008013033206776043,0.010109441608357653,0.0008426587623992926,0.002811636481112323,-0.010029139239436533,-0.011956856464625895,-0.6063615526158515
2023-05-05,-0.0012035343867271564,0.010285101403492009,0.0012339345453791645,0.003464471269329833,-0.008954888669078703,-0.013392213783046981,-0.9818320044030884
2023-05-08,-0.006550326901813008,0.009967134244064896,0.0007264947645469061,0.003762140948736975,-0.00906354941045523,-0.013756901584654486,-0.6513835222168609
2023-05-09,0.0002711631426528527,0.009235696184645918,0.000744342063272771,0.004570248263689666,-0.00955028634872921,-0.015151618090357819,-1.0270608899656395
2023-05-10,-0.00862392087867292,0.00983267922950154,0.0006265191291686401,0.0042118526491399105,-0.009110477807529826,-0.01429954161031606,-0.5094986510758304
2023-05-11,0.009860565444132163,0.009755058809116042,0.0009817296937146835,0.004114796644792765,-0.004076458515989256,-0.01637001425761518,-1.5391987762820918
2023-05-12,-0.01161255785448212,0.010062505213112763,-0.0007413914546097883,0.0034958727681924373,-0.002481686589809781,-0.01782237955170385,-0.4151262615371252
2023-05-15,-0.018989450662323826,0.01058436191391942,-0.0015820573642075925,0.0027990012454948004,-0.0017714114476965748,-0.01709159396453258,-0.020896255115758322
2023-05-16,-0.019850671661846953,0.010803502417678496,-0.0033139397649240704,0.003701506590422246,-0.004011738360207698,-0.01744288737098576,-0.005972508350907901
2023-05-17,-0.024405314794931243,0.010158026554203167,-0.0042738542708335575,0.0042627450975029485,-0.00462096915009183,-0.01802405967829425,0.2707208023534804
2023-05-18,-0.02358078670628494,0.010201593052236928,-0.004333435682802138,0.004275564703097867,-0.004553031855372383,-0.018060778341898537,0.22086530774379298
2023-05-19,-0.023879427915523443,0.010232202881064476,-0.004275569757710963,0.004249397029260235,-0.004531764566531801,-0.01798860881993139,0.22599277146770191
2023-05-22,-0.03406253100922019,0.006971170894194214,-0.005691014563615704,0.008500385989958417,-0.007001792082612458,-0.02341328753499375,0.9378318313683849
2023-05-23,-0.0315976774182527,0.0068799228275117225,-0.005630111715061701,0.008602507295339859,-0.007106991737130336,-0.023301689107878054,0.7919508893041893
2023-05-24,-0.014669310442530836,0.007457171382008743,-0.006978818871102771,0.009265948490939157,-0.0060889212618560895,-0.023642941183019905,-0.2740546567426918
2023-05-25,-0.005819044427401998,0.007853229403669448,-0.006076794469826362,0.008838629819937258,-0.008537989837572726,-0.019433046323341918,-0.7776749878185569
2023-05-26,0.0009747072398980094,0.008730273172750935,-0.0064276445169354005,0.0082885121533894,-0.008933059520402568,-0.01799095409587631,-1.1688636834089152
2023-05-30,0.00048470552375068365,0.008826103903446514,-0.006089977293657109,0.008003542996461534,-0.00871888219134833,-0.017350219553199486,-1.1462679183148907
2023-05-31,0.006249355575825177,0.008511950381933253,-0.009940430535327179,0.009736345813747846,-0.010846987522775405,-0.01878360578432342,-1.4668512722781202
2023-06-01,0.00832281580441574,0.008117683415529445,-0.009093562416310139,0.009514787138957675,-0.010559987850579152,-0.018792678059357637,-1.5794971112258054
2023-06-02,-0.009341668777527623,0.009487905057013121,-0.0054498221823487125,0.008342301734524604,-0.009433796416707291,-0.015358687077703714,-0.4949298758379541
2023-06-05,0.017755664414313976,0.011051699514275926,-0.0020232664137312187,0.006957865174130927,-0.00750775060077203,-0.012617243926376753,-2.1646200656329597
2023-06-06,0.023508483606981656,0.01086347422472992,-0.0029861080569828224,0.007478469530688562,-0.0076040997011697885,-0.012145097400754201,-2.488738202915272
2023-06-07,0.018862544302438167,0.00997913447629067,0.0011951605205395566,0.00798011730878299,-0.004785287789582688,-0.010263001554255247,-2.149081245205423
2023-06-08,0.0136405787434839,0.010506655450499149,0.0008263147148803232,0.007608219696184434,-0.004948330113011954,-0.010148050746008747,-1.829574340108195
2023-06-09,0.01260432417681212,0.010912067281119778,-0.0003985388625603048,0.009680045553625744,-0.00642417500482408,-0.010441666886138151,-1.7945764043639372
2023-06-12,0.020256269927720894,0.011256214416587626,-0.000568508349873445,0.010078048797187256,-0.006249507714578147,-0.010451318611219118,-2.24146624165121
2023-06-13,0.013099033050679942,0.011608654095404541,-0.0006854689243097969,0.010913560222177293,-0.006892403083128348,-0.010986579596723861,-1.8279345597553913
2023-06-14,0.015402445326997416,0.014377001010802894,-0.003107139830025519,0.010247336181182985,-0.00537819274650248,-0.007103709583615225,-1.8701988293159957
2023-06-15,0.015263210152366202,0.014036615827336507,-0.001532987551070209,0.007590303804898068,-0.004830956599568903,-0.003858954719129587,-1.8942345601637385
2023-06-16,0.01379749465121316,0.013075682520044749,-0.0018247300959673453,0.007798825931883073,-0.004409209800140632,-0.004236604688092033,-1.7751255362067013
2023-06-20,0.01783552436890634,0.012737440305443694,-0.0006125948227295435,0.005916940535857338,-0.002607044599620502,-0.005155081836558412,-1.980857026668815
2023-06-21,0.018786290490054203,0.012684497849903026,-0.0010401399816829856,0.006329460391154958,-0.0029715599899721827,-0.006132451854127863,-2.05347062786484
2023-06-22,0.03609560207580609,0.012895754144643085,-0.0009126416499712067,0.007674145845232105,-0.004013541219380079,-0.004929470294856242,-3.0422115596838637
2023-06-23,0.029417840856337918,0.012166973858445937,-0.0014336036811125191,0.00833457756028014,-0.00416760514153653,-0.00601423746059615,-2.6406252916426354
2023-06-26,0.01748597705987942,0.010425175530323239,-0.0002113081898614047,0.008517860839663917,-0.001970108714288563,-0.007121336391861355,-1.9606036501253072
2023-06-27,-0.0036781152820659635,0.009258794380208865,0.001126225851535205,0.00883478098588341,-0.0012445958063983659,-0.009958294614790947,-0.7756968283722472
2023-06-28,-0.014669972600519277,0.008289119263965083,0.001318848986974347,0.009105745803213229,-0.0016899139820021791,-0.010992684041652268,-0.1366922692787398
2023-06-29,-0.01123853462743929,0.007809459966065829,0.0003036454298387045,0.00968094086579803,-0.002699951192731,-0.012245725019147308,-0.36020674646559314
2023-06-30,-0.008905213364445608,0.007860799245238637,0.0010567874543434032,0.009558737198285415,-0.002224977932641272,-0.01227903989667456,-0.5117121522136188
2023-07-03,-0.047718684136480505,0.0060032694014871685,0.0004580379823340905,0.012263586859931647,-0.0028197809219315632,-0.016889627132188667,1.7337321876901228
2023-07-05,-0.04621114932919479,0.005628443069860337,0.0006455729739376498,0.012639032591480456,-0.0019316249278439404,-0.01773365805202194,1.6208340572918587
2023-07-06,-0.03336917333726053,0.006538148191719037,0.0003728728644103313,0.013370596437112935,-0.002792970652931527,-0.017108293582397585,0.8946616258169513
2023-07-07,-0.039546771617775534,0.006062760360951644,0.0010742978633389438,0.013719543293092974,-0.0028442633829637333,-0.01775316528954643,1.263558350147349
2023-07-10,-0.05079475100622788,0.006903531865773471,0.002997759686431241,0.011425621789871762,-0.004083115645431665,-0.015020870367527625,1.901887737791867
2023-07-11,-0.06055219131037881,0.007936816594967505,0.002481085206564128,0.01145142496543558,-0.004959691518439599,-0.014012177921868665,2.479627857072387
2023-07-12,-0.05155106047735569,0.008110386445552863,0.002689666400196855,0.010617441423460432,-0.004575380679267042,-0.012303864557013655,1.963332269454952
2023-07-13,-0.054665198591091535,0.008221365024511387,0.0026009512844802282,0.010929370343170021,-0.006593865698444064,-0.012855102704785251,2.1708194049738836
2023-07-14,-0.05301283754940789,0.008305854748525653,0.0024363114317257975,0.011199433261166781,-0.006838719638901848,-0.012745699039587277,2.0782781259879073
2023-07-17,-0.049587361447375855,0.00814291869150912,0.0019281150045493134,0.011854239319482842,-0.006873404147450031,-0.013041476548076275,1.8924812292713824
2023-07-18,-0.04349511491087399,0.008647430848105288,0.0016094278867817557,0.010966486259805792,-0.008356092837972024,-0.011104650021532991,1.5344512875892562
2023-07-19,-0.04587960770666266,0.008546038429488673,0.001188000544666893,0.011566439839739574,-0.008896498364567972,-0.011276431605709444,1.6902416300827454
2023-07-20,-0.041894537168738255,0.008526388641376427,0.001072277008020435,0.012166832260282076,-0.008294778042336571,-0.01253440245177441,1.4742792295639546
2023-07-21,-0.03912890548360248,0.008316156813138454,0.000993531440641092,0.012407683529290812,-0.008138217537615847,-0.0125150164308888,1.3233447046385578
2023-07-24,-0.03561850010156653,0.008057282717532378,0.0017404154819019718,0.011231791362685165,-0.008661379592411405,-0.011795920154136295,1.1412709248623685
2023-07-25,-0.02850843514337742,0.009499274322572342,0.0001238161202653243,0.012328304322075472,-0.009626635710144953,-0.010715478329946397,0.7612653653100026
2023-07-26,-0.027370512441954986,0.009770002221653782,9.038898456237981e-05,0.012208641440426726,-0.009499821842535039,-0.010455012891315854,0.701882633790845
2023-07-27,-0.02249802408637447,0.011118986529716445,0.0018674975204414843,0.010682463239164358,-0.009107814714169285,-0.009355650051721759,0.39190333649520426
2023-07-28,-0.024256710339934817,0.01144946452772689,0.0020769323942421564,0.01023696085561494,-0.009407600988538331,-0.009047714219894767,0.4958078437435347
2023-07-31,-0.021832671862330177,0.01120130946918859,0.002169932691154796,0.010180632843795459,-0.009095696194112601,-0.009260881418269251,0.3652301035778436
2023-08-01,-0.025951069383011838,0.012245677367905872,0.002354572031212785,0.010356755928421283,-0.008155624008083354,-0.009033926411527518,0.5445675727528538
2023-08-02,-0.027548410231047593,0.01248726110607461,0.002337140249221971,0.009970842439353384,-0.00867998948604401,-0.00881282602070911,0.6082911164783695
2023-08-03,-0.022631826458937354,0.0145581136286651,0.0017895107022897414,0.009093838754611703,-0.009886008149789134,-0.005117892654570577,0.2950998817253705
2023-08-04,-0.026361147938920304,0.01691449674177341,0.003161349853445815,0.005892479164402033,-0.00783198622226823,-0.0006996225349145679,0.4445806049218817
2023-08-07,-0.025982736890732605,0.016658635411465762,0.003874939203380348,0.005273035054930833,-0.007645863397869428,-0.0006733739224927121,0.42477884808378263
2023-08-08,-0.04700519479107945,0.01664745303378787,0.0038551519167552006,0.006455012920345761,-0.011311416618153762,-0.0031521105374813507,1.419142934425011
2023-08-09,-0.019465235980827833,0.01762673690408027,0.0025443620193053157,0.006583134142738818,-0.011193675643301787,0.001797908842222612,0.09455969259519748
2023-08-10,-0.01260001721705728,0.017510165136435732,0.003098661434865327,0.006780631477677827,-0.011947877360139747,0.001197156299894933,-0.2389935062242472
2023-08-11,-0.010697343478729415,0.017302346145321636,0.003357836772801673,0.006479461507770814,-0.011353044973489393,0.0010326425419487223,-0.3371904702007811
2023-08-14,-0.0008292987191065304,0.018317835104302387,0.0027266274347227393,0.008357006936888532,-0.01236128067821949,0.0006896375342249489,-0.8321289101651104
2023-08-15,-0.003440608289299041,0.017733855910415174,0.0032732837614459567,0.00770876357051288,-0.012118327437128602,0.00085558505421994,-0.6958115442765092
2023-08-16,0.001364354847175342,0.017863458433032012,0.003071755389966818,0.0076599504597910165,-0.012320622122081237,0.00142411266828521,-0.9276384671703113
2023-08-17,-0.003867939642392848,0.0182406520957059,0.002524396966214121,0.007442741475393692,-0.011223866928200363,0.0025059540835479788,-0.6750145933064147
2023-08-18,-0.00487379597709392,0.01820957354845667,0.003148510485111153,0.006845223908008319,-0.01088007189667127,0.0025915894718964577,-0.6129506288220483
2023-08-21,-0.008446321334528939,0.018530124804825642,0.0029112136864832758,0.006911180719931562,-0.010703827208317987,0.002194280836861316,-0.4348963541212072
2023-08-22,-0.017717208039376153,0.01800694379335798,0.0022749246578674387,0.007489417693673131,-0.014797277484419495,0.00392346501246691,0.03580259891629112
2023-08-23,-0.024588307489935346,0.01689266198233745,0.002815451831097597,0.00745766066366494,-0.01425173809848359,0.0033217514615494284,0.3578594787284146
2023-08-24,-0.03785882994637246,0.016961851725962675,0.0030586475739197705,0.006725295933349043,-0.013408151113695851,0.00501232747382864,1.0090166403842886
2023-08-25,-0.04803447894601298,0.017430748728475644,0.003216858762696187,0.006761036198367848,-0.012006249307323663,0.004555859740309531,1.496437655413871
2023-08-28,-0.047879118946266175,0.017196320068406896,0.003300861129235458,0.006690991200039076,-0.012211828724170426,0.004357361415626544,1.4834487282691668
2023-08-29,-0.04320814376029958,0.019071508124897798,0.0036018596360680027,0.006563355034279558,-0.011360884003564248,0.005370396123430453,1.2690307628645598
2023-08-30,-0.0320886989262954,0.017693588830222283,0.0012543029588941434,0.008272026655197912,-0.014989152038155151,0.004002750770313965,0.751002747305904
2023-08-31,-0.026933299674482214,0.017639970213917326,0.0036146901806572984,0.008202298509443123,-0.014128078919308229,0.0026133251575923937,0.4942236064832741
2023-09-01,-0.039070608748167146,0.016917280774719382,0.0014396027281535773,0.008331846020518952,-0.01614306147515973,0.0005657479343689296,1.0746649660165417
2023-09-05,-0.038719814055363067,0.01752608663270699,0.003491663057755754,0.007951311973415892,-0.014080042271615856,0.0012326344990251509,1.036515491158525
2023-09-06,-0.03783483872338067,0.01750600274648475,0.0033753625263241334,0.007989237256724763,-0.014193621421446118,0.001233083624922639,0.9956931072895259
2023-09-07,-0.03342173769858281,0.017882587646963842,0.0037996454246497294,0.0072045184486952685,-0.014015137785560738,0.0011747446926086832,0.7897158511788689
